104,869,69,win
277,664,52,win
469,436,33,win
459,498,39,win
372,545,42,win
785,293,25,win
505,419,32,win
24,1005,81,win
323,685,55,win
217,796,64,win
566,316,23,win
658,288,22,win
318,656,52,win
560,358,27,win
65,1017,83,win
454,499,39,win
429,554,44,win
427,584,47,win
669,276,21,win
279,684,54,win
71,955,77,win
160,888,72,win
607,348,27,win
231,783,63,win
341,661,53,win
466,506,40,win
533,403,31,win
612,327,25,win
421,505,39,win
30,1064,87,win
65,937,75,win
57,1028,84,win
518,406,31,win
619,256,18,win
118,936,76,win
641,241,17,win
556,408,32,win
333,593,46,win
391,591,47,win
688,272,21,win
675,215,15,win
414,567,45,win
708,308,25,win
645,321,25,win
388,592,47,win
162,877,71,win
548,410,32,win
308,678,54,win
484.0,241.0,17.0,win
470.0,379.0,24.0,win
490.0,637.0,44.0,win
502.0,848.0,60.0,win
491.0,728.0,50.0,win
